Column,Art_ID,Title,Artist,Wiki_Link,Style,Genre,Media,tmp
7,Kaggle_49823,Small Bird on a Branch of Kaidozakura,Hiroshige,https://www.wikiart.org/en/hiroshige/small-bird-on-a-branch-of-kaidozakura-1838,,,,check
18,Kaggle_82352,The Garden of Earthly Delights,Hieronymus Bosch,https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-1515-7,,,,check
20,Kaggle_85864,Untitled,Mark Rothko,https://www.wikiart.org/en/mark-rothko/untitled-1968-2,,,,check
37,Kaggle_15715,Self-portrait,Titian,https://www.wikiart.org/en/titian/self-portrait-1562,,,,check
38,Kaggle_59486,Self Portrait,Gerrit Dou,https://www.wikiart.org/en/gerrit-dou/self-portrait-1635,,,,check
39,Kaggle_77921,Charity,Lucas Cranach the Elder,https://www.wikiart.org/en/lucas-cranach-the-elder/charity-1534,,,,check
49,Kaggle_99733,Dipicting the characters from the Chushingura,Utagawa Kuniyoshi,https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-3,,,,check
50,Kaggle_73690,Dipicting the characters from the Chushingura,Utagawa Kuniyoshi,"['https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-1', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-2', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-3', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-4']",,,,check
51,Kaggle_93715,Dipicting the characters from the Chushingura,Utagawa Kuniyoshi,"['https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-1', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-2', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-3', 'https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-4']",,,,check
52,Kaggle_47170,Dipicting the characters from the Chushingura,Utagawa Kuniyoshi,https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura,,,,check
53,Kaggle_100979,Dipicting the characters from the Chushingura,Utagawa Kuniyoshi,https://www.wikiart.org/en/utagawa-kuniyoshi/dipicting-the-characters-from-the-chushingura-1,,,,check
54,Kaggle_29331,Roger and Angelica,Odilon Redon,https://www.wikiart.org/en/odilon-redon/roger-and-angelica-1910,,,,check
55,Kaggle_53464,Divination,Konstantin Vasilyev,https://www.wikiart.org/en/konstantin-vasilyev/divination-1,,,,check
77,Kaggle_45704,Self portrait,William Hogarth,https://www.wikiart.org/en/william-hogarth/self-portrait-1,,,,check
97,Kaggle_96174,The Reaper,Ferdinand Hodler,https://www.wikiart.org/en/ferdinand-hodler/the-reaper-1910,,,,check
107,Kaggle_13595,Self-portrait,Koloman Moser,https://www.wikiart.org/en/koloman-moser/self-portrait-1,,,,check
121,Kaggle_16042,Birth of the Danube,Konstantin Vasilyev,https://www.wikiart.org/en/konstantin-vasilyev/birth-of-the-danube-2,,,,check
127,Kaggle_91879,Self-Portrait,Joshua Reynolds,https://www.wikiart.org/en/joshua-reynolds/self-portrait-3,,,,check
131,Kaggle_3306,Night March of a Hundred Demons (detail),Tosa Mitsuoki,https://www.wikiart.org/en/tosa-mitsuoki/night-march-of-a-hundred-demons-detail,,,,check
160,Kaggle_18627,Lady with Puppet,Felicien Rops,https://www.wikiart.org/en/felicien-rops/lady-with-puppet,,,,check
161,Kaggle_102176,Small Bird on a Branch of Kaidozakura,Hiroshige,https://www.wikiart.org/en/hiroshige/small-bird-on-a-branch-of-kaidozakura-1848,,,,check
180,Kaggle_13495,"Thun, Stockhornkette",Ferdinand Hodler,https://www.wikiart.org/en/ferdinand-hodler/thun-stockhornkette-1910,,,,check
191,Kaggle_88764,Stage design for 'The lake' of Julius Bittner,Koloman Moser,https://www.wikiart.org/en/koloman-moser/stage-design-for-the-lake-of-julius-bittner-1,,,,check
