Column,Art_ID,Title,Artist,Wiki_Link,Style,Genre,Media,tmp,New_Wiki_Link,img_src
86059,Kaggle_69987,Untitled,Paritosh Sen,"['https://www.wikiart.org/en/paritosh-sen/untitled-1970', 'https://www.wikiart.org/en/paritosh-sen/untitled-1995', 'https://www.wikiart.org/en/paritosh-sen/untitled']",,,,check,[],[]
86094,Kaggle_45470,A Shunga,Ike no Taiga,"['https://www.wikiart.org/en/ike-no-taiga/a-shunga', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-1', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-2', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-3', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-4', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-5', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-6', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-7', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-8', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-9', 'https://www.wikiart.org/en/ike-no-taiga/a-shunga-10']",,,,check,[],[]
86124,Kaggle_56961,Marquisette,Raphael Kirchner,"['https://www.wikiart.org/en/raphael-kirchner/marquisette', 'https://www.wikiart.org/en/raphael-kirchner/marquisette-1', 'https://www.wikiart.org/en/raphael-kirchner/marquisette-2']",,,,check,[],[]
86127,Kaggle_40279,Self-Portrait,Cuno Amiet,"['https://www.wikiart.org/en/cuno-amiet/self-portrait-1920', 'https://www.wikiart.org/en/cuno-amiet/self-portrait-1921']",,,,check,[],[]
86135,Kaggle_35959,Creatures,Jules Perahim,"['https://www.wikiart.org/en/jules-perahim/creatures-1969', 'https://www.wikiart.org/en/jules-perahim/creatures-1976', 'https://www.wikiart.org/en/jules-perahim/creatures-1979-1', 'https://www.wikiart.org/en/jules-perahim/creatures', 'https://www.wikiart.org/en/jules-perahim/creatures-1']",,,,check,[],[]
86153,Kaggle_25929,Figures on turquoise background,Raphael Kirchner,"['https://www.wikiart.org/en/raphael-kirchner/figures-on-turquoise-background-1901', 'https://www.wikiart.org/en/raphael-kirchner/figures-on-turquoise-background-1901-1', 'https://www.wikiart.org/en/raphael-kirchner/figures-on-turquoise-background-1901-2', 'https://www.wikiart.org/en/raphael-kirchner/figures-on-turquoise-background-1901-3']",,,,check,[],[]
86173,Kaggle_81743,Yenisei,Pyotr Konchalovsky,"['https://www.wikiart.org/en/pyotr-konchalovsky/yenisei-1951', 'https://www.wikiart.org/en/pyotr-konchalovsky/yenisei-1951-1']",,,,check,[],[]
86180,Kaggle_62176,Coronation of Sesostris,Cy Twombly,"['https://www.wikiart.org/en/cy-twombly/coronation-of-sesostris', 'https://www.wikiart.org/en/cy-twombly/coronation-of-sesostris-1']",,,,check,[],[]
86214,Kaggle_30900,Portrait of Adam Mickiewicz,Orest Kiprensky,"['https://www.wikiart.org/en/orest-kiprensky/portrait-of-adam-mickiewicz-1824', 'https://www.wikiart.org/en/orest-kiprensky/portrait-of-adam-mickiewicz-1825']",,,,check,[],[]
86216,Kaggle_556,Hawk,Xu Beihong,"['https://www.wikiart.org/en/xu-beihong/hawk-1946', 'https://www.wikiart.org/en/xu-beihong/hawk']",,,,check,[],[]
86226,Kaggle_14353,Metaesquema,Helio Oiticica,"['https://www.wikiart.org/en/helio-oiticica/metaesquema-1957', 'https://www.wikiart.org/en/helio-oiticica/metaesquema', 'https://www.wikiart.org/en/helio-oiticica/metaesquema-1', 'https://www.wikiart.org/en/helio-oiticica/metaesquema-2']",,,,check,[],[]
86305,Kaggle_22888,Untitled,Leopold Survage,"['https://www.wikiart.org/en/leopold-survage/untitled-1953', 'https://www.wikiart.org/en/leopold-survage/untitled']",,,,check,[],[]
86328,Kaggle_62905,Self-Portrait,Mario Eloy,"['https://www.wikiart.org/en/mario-eloy/self-portrait-1928', 'https://www.wikiart.org/en/mario-eloy/self-portrait-1939']",,,,check,[],[]
86340,Kaggle_62829,Wladyslaw Jagiello,Jan Matejko,"['https://www.wikiart.org/en/jan-matejko/wladyslaw-jagiello', 'https://www.wikiart.org/en/jan-matejko/wladyslaw-jagiello-1']",,,,check,[],[]
86343,Kaggle_30355,Leszek I the White,Jan Matejko,"['https://www.wikiart.org/en/jan-matejko/leszek-i-the-white', 'https://www.wikiart.org/en/jan-matejko/leszek-i-the-white-1']",,,,check,[],[]
86407,Kaggle_615,Troll Som Vasker Ungen Sin,Theodor Severin Kittelsen,"['https://www.wikiart.org/en/theodor-severin-kittelsen/troll-som-vasker-ungen-sin', 'https://www.wikiart.org/en/theodor-severin-kittelsen/troll-som-vasker-ungen-sin-1']",,,,check,[],[]
86412,Kaggle_86938,Leszek the Black,Jan Matejko,"['https://www.wikiart.org/en/jan-matejko/leszek-the-black', 'https://www.wikiart.org/en/jan-matejko/leszek-the-black-1']",,,,check,[],[]
86488,Kaggle_94422,Andalousie,Maurice Esteve,"['https://www.wikiart.org/en/maurice-esteve/andalousie-1954', 'https://www.wikiart.org/en/maurice-esteve/andalousie-1954-1']",,,,check,[],[]
86489,Kaggle_86950,Composition,Jean-Michel Atlan,"['https://www.wikiart.org/en/jean-michel-atlan/composition-1951', 'https://www.wikiart.org/en/jean-michel-atlan/composition-1953']",,,,check,[],[]
86513,Kaggle_34403,Untitled Red Monochrome,Yves Klein,"['https://www.wikiart.org/en/yves-klein/untitled-red-monochrome-1956', 'https://www.wikiart.org/en/yves-klein/untitled-red-monochrome-1957']",,,,check,[],[]
86559,Kaggle_84889,Mieszko II Lambert,Jan Matejko,"['https://www.wikiart.org/en/jan-matejko/mieszko-ii-lambert', 'https://www.wikiart.org/en/jan-matejko/mieszko-ii-lambert-1']",,,,check,[],[]
86586,Kaggle_2093,Wladyslaw Herman,Jan Matejko,"['https://www.wikiart.org/en/jan-matejko/wladyslaw-herman', 'https://www.wikiart.org/en/jan-matejko/wladyslaw-herman-1']",,,,check,[],[]
86603,Kaggle_52031,Self-Portrait,Boris Grigoriev,"['https://www.wikiart.org/en/boris-grigoriev/self-portrait', 'https://www.wikiart.org/en/boris-grigoriev/self-portrait-1']",,,,check,[],[]
86608,Kaggle_16537,Small Greek heads,Raphael Kirchner,"['https://www.wikiart.org/en/raphael-kirchner/small-greek-heads', 'https://www.wikiart.org/en/raphael-kirchner/small-greek-heads-1', 'https://www.wikiart.org/en/raphael-kirchner/small-greek-heads-2', 'https://www.wikiart.org/en/raphael-kirchner/small-greek-heads-3']",,,,check,[],[]
86611,Kaggle_57089,Untitled Pink Monochrome,Yves Klein,"['https://www.wikiart.org/en/yves-klein/untitled-pink-monochrome-1955', 'https://www.wikiart.org/en/yves-klein/untitled-pink-monochrome-1956', 'https://www.wikiart.org/en/yves-klein/untitled-pink-monochrome-1957', 'https://www.wikiart.org/en/yves-klein/untitled-pink-monochrome-1957-1', 'https://www.wikiart.org/en/yves-klein/untitled-pink-monochrome-1960']",,,,check,[],[]
86639,Kaggle_91639,Composition,Pierre Tal-Coat,"['https://www.wikiart.org/en/pierre-tal-coat/composition-1954', 'https://www.wikiart.org/en/pierre-tal-coat/composition', 'https://www.wikiart.org/en/pierre-tal-coat/composition-1', 'https://www.wikiart.org/en/pierre-tal-coat/composition-2']",,,,check,[],[]
86645,Kaggle_3820,Untitled,Leon Berkowitz,"['https://www.wikiart.org/en/leon-berkowitz/untitled-1975', 'https://www.wikiart.org/en/leon-berkowitz/untitled-1977', 'https://www.wikiart.org/en/leon-berkowitz/untitled-1977-1']",,,,check,[],[]
86647,Kaggle_69779,The road connecting Edo (Tokyo) and Kyoto,Hiroshige,"['https://www.wikiart.org/en/hiroshige/the-road-connecting-edo-tokyo-and-kyoto', 'https://www.wikiart.org/en/hiroshige/the-road-connecting-edo-tokyo-and-kyoto-1', 'https://www.wikiart.org/en/hiroshige/the-road-connecting-edo-tokyo-and-kyoto-2']",,,,check,[],[]
