,Artist,Art,Link
0,Saul Steinberg,Head,https://www.wikiart.org/en/saul-steinberg/head-1929
0,Saul Steinberg,Head,https://www.wikiart.org/en/saul-steinberg/head-1945
0,Saul Steinberg,Hen,https://www.wikiart.org/en/saul-steinberg/hen-1945
0,Saul Steinberg,In the Manner of Matisse,https://www.wikiart.org/en/saul-steinberg/in-the-manner-of-matisse-1946
0,Saul Steinberg,Untitled,https://www.wikiart.org/en/saul-steinberg/untitled-1948
0,Saul Steinberg,Girl in Bathtub,https://www.wikiart.org/en/saul-steinberg/girl-in-bathtub-1949
0,Saul Steinberg,Fingerprint Landscape,https://www.wikiart.org/en/saul-steinberg/fingerprint-landscape-1950
0,Saul Steinberg,Two Gendarmes,https://www.wikiart.org/en/saul-steinberg/two-gendarmes-1950
0,Saul Steinberg,Large Document,https://www.wikiart.org/en/saul-steinberg/large-document-1951
0,Saul Steinberg,Passport,https://www.wikiart.org/en/saul-steinberg/passport-1951
0,Saul Steinberg,Railway,https://www.wikiart.org/en/saul-steinberg/railway-1951
0,Saul Steinberg,Car,https://www.wikiart.org/en/saul-steinberg/car-1953
0,Saul Steinberg,The Waltz,https://www.wikiart.org/en/saul-steinberg/the-waltz-1953
0,Saul Steinberg,Children's Labyrinth,https://www.wikiart.org/en/saul-steinberg/children-s-labyrinth-1954
0,Saul Steinberg,Graph Paper Architecture,https://www.wikiart.org/en/saul-steinberg/graph-paper-architecture-1954
0,Saul Steinberg,Untitled,https://www.wikiart.org/en/saul-steinberg/untitled-1957
0,Saul Steinberg,Untitled,https://www.wikiart.org/en/saul-steinberg/untitled-1961
0,Saul Steinberg,Untitled (Question Marks),https://www.wikiart.org/en/saul-steinberg/untitled-question-marks-1961
0,Saul Steinberg,Untitled,https://www.wikiart.org/en/saul-steinberg/untitled-1962
0,Saul Steinberg,Uncle Sam U.S.A.,https://www.wikiart.org/en/saul-steinberg/uncle-sam-u-s-a-1964
0,Saul Steinberg,Untitled,https://www.wikiart.org/en/saul-steinberg/untitled-1964
0,Saul Steinberg,Mask,https://www.wikiart.org/en/saul-steinberg/mask-1965
